Date,Close,High,Low,Open,Volume
2010-01-01,27.9368,28.2436,27.8313,28.0135,0
2010-01-04,28.2052,28.3011,28.0135,28.0135,7026480
2010-01-05,27.8888,28.2052,27.745,28.0806,9765515
2010-01-06,27.8217,27.9464,27.3903,27.8217,8512499
2010-01-07,27.5341,27.7354,27.4478,27.7258,8182315
2010-01-08,27.5725,27.6492,27.189,27.3711,7698687
2010-01-11,27.9655,28.0374,27.5341,27.6587,6116094
2010-01-12,27.3232,27.9655,27.2657,27.8121,6784737
2010-01-13,27.8217,27.9655,27.4191,27.6779,5312867
2010-01-14,27.6012,27.8217,27.4382,27.6971,6529042
2010-01-15,26.9972,27.6012,26.8534,27.4958,8472526
2010-01-18,26.9972,27.6012,26.8534,27.4958,0
2010-01-19,27.5437,27.5533,26.9205,26.9205,5765235
2010-01-20,27.4382,27.5437,26.8726,27.3136,6391331
2010-01-21,26.9014,27.8025,26.7671,27.4958,10382644
2010-01-22,26.0769,26.9685,26.0577,26.7384,9792540
2010-01-25,26.2782,26.4028,25.5496,26.4028,10903963
2010-01-26,26.0577,26.307,25.8755,26.1919,8743060
2010-01-27,25.8372,26.0577,25.4633,26.0481,10676843
2010-01-28,25.703,26.0098,25.3387,25.9714,18182833
2010-01-29,26.3165,26.7288,25.7126,25.8276,12464273
2010-02-01,26.8918,26.9397,26.4508,26.7096,8725715
2010-02-02,27.3328,27.3615,26.6809,26.9109,9384348
2010-02-03,26.748,27.1506,26.7288,27.0164,14757667
2010-02-04,26.422,26.6329,25.8947,26.6329,14089055
2010-02-05,25.9139,26.4508,25.6359,26.3741,22882839
2010-02-08,25.8084,26.2878,25.7413,25.9522,9182839
2010-02-09,26.2782,26.6137,25.9522,26.0673,10366717
2010-02-10,26.2494,26.4412,25.8755,26.0769,8775456
2010-02-11,26.6329,26.6425,25.8084,26.1536,14529477
2010-02-12,26.7288,26.7863,26.2303,26.3645,11740832
2010-02-15,26.7288,26.7863,26.2303,26.3645,0
2010-02-16,27.5149,27.6012,26.8534,27.0164,10982726
2010-02-17,27.7546,27.8313,27.304,27.6108,9862306
2010-02-18,27.8792,28.0326,27.4478,27.6492,7271754
2010-02-19,28.2244,28.2436,27.6108,27.8217,8755457
2010-02-22,27.8121,28.3298,27.7642,28.2627,8048333
2010-02-23,27.304,27.9751,27.2848,27.793,10279917
2010-02-24,27.4958,27.793,27.3424,27.4382,8551500
2010-02-25,27.6683,27.7642,27.0739,27.1123,7885137
2010-02-26,27.8409,27.8984,27.5725,27.7067,5850960
2010-03-01,28.3778,28.4736,27.8792,27.8984,6901450
2010-03-02,28.4449,28.5407,28.186,28.3778,5688319
2010-03-03,28.3874,28.7037,28.1764,28.4257,7442481
2010-03-04,28.6654,28.7037,28.1764,28.3778,7651810
2010-03-05,29.279,29.3365,28.6654,28.7613,10930796
2010-03-08,29.3748,29.509,28.953,29.2023,7755124
2010-03-09,29.3365,29.4707,29.0968,29.1735,6406550
2010-03-10,29.2694,29.4899,29.1351,29.2694,9836711
2010-03-11,29.394,29.4755,29.0968,29.1447,8039008
2010-03-12,29.279,29.5186,29.1927,29.4611,4635843
2010-03-15,29.2023,29.2598,28.7996,29.1831,6951474
2010-03-16,29.7775,29.9596,29.1831,29.2598,9283750
2010-03-17,29.9117,30.0843,29.7008,29.7967,6086415
2010-03-18,29.8734,30.161,29.7967,29.8446,5649325
2010-03-19,29.9501,30.3335,29.6529,29.9884,13601623
2010-03-22,29.9884,30.1034,29.5282,29.7487,9019499
2010-03-23,29.998,30.1418,29.7679,30.0459,6104993
2010-03-24,29.9596,30.0651,29.7679,29.9117,6792848
2010-03-25,29.9405,30.3239,29.9021,30.0651,8854318
2010-03-26,30.1993,30.4198,29.7775,29.9021,7234970
2010-03-29,30.2568,30.4294,30.1226,30.3239,6522635
2010-03-30,30.0939,30.439,29.9117,30.3431,11299127
2010-03-31,29.9788,30.1322,29.6529,29.8925,7524318
2010-04-01,30.113,30.2377,29.7487,30.1226,9532208
2010-04-02,30.113,30.2377,29.7487,30.1226,0
2010-04-05,30.5828,30.602,29.9405,30.0939,7300457
2010-04-06,30.6691,30.7218,30.276,30.3527,6275954
2010-04-07,30.765,30.9567,30.4102,30.4965,12847760
2010-04-08,30.8704,30.9855,30.2856,30.4773,10183472
2010-04-09,31.2827,31.5707,30.7985,30.9183,7753362
2010-04-12,31.3498,31.4265,31.0909,31.4265,5912173
2010-04-13,31.4169,31.5799,31.2539,31.3306,7244628
2010-04-14,31.5127,31.5127,30.6883,30.8129,9165250
2010-04-15,31.5319,31.6661,31.2539,31.3306,7245138
2010-04-16,31.6374,31.7332,31.321,31.4648,16003770
2010-04-19,31.3594,31.7908,31.0717,31.6757,11795460
2010-04-20,31.8004,32.0976,31.4936,31.6086,11548336
2010-04-21,31.7141,31.8195,31.436,31.7428,9794100
2010-04-22,31.8771,31.9442,30.9759,31.3114,13557032
2010-04-23,31.7716,31.9825,31.484,31.7428,8303640
2010-04-26,32.1263,32.3564,31.5799,31.6757,9813017
2010-04-27,31.321,32.04,31.206,31.8291,10787788
2010-04-28,31.6949,31.8195,31.1388,31.5799,8745863
2010-04-29,32.0784,32.3372,31.8195,32.0304,8200274
2010-04-30,31.7141,32.6632,31.5319,32.2414,9978993
2010-05-03,32.481,32.6153,31.7716,31.8195,6678740
2010-05-04,31.321,32.2701,31.3018,32.0113,13180690
2010-05-05,30.5636,31.2443,30.4102,31.0334,17249285
2010-05-06,29.6241,30.5636,27.2561,30.2473,16528929
2010-05-07,29.0009,29.9788,28.5887,29.4419,15061675
2010-05-10,30.1897,30.9759,29.8686,30.0363,13583424
2010-05-11,30.1801,30.6691,29.7583,29.9021,7601770
2010-05-12,30.2377,30.4678,29.8062,30.1418,8797747
2010-05-13,29.8734,30.3623,29.835,30.2568,8744314
2010-05-14,29.2981,29.8734,29.116,29.7583,12765887
2010-05-17,29.3652,29.5618,28.7133,29.4323,7497518
2010-05-18,29.3533,29.7439,29.1927,29.3269,13435993
